,Title,Developer,Platform(s),Release Date,Highest Metacritic Score
1,3-D WorldRunner,Square,"FDS , NES",1987-03-12,
2,50 Cent: Blood on the Sand,Swordfish Studios,"PS3, X360",2009-02-20,72
3,50 Cent: Bulletproof,Genuine Games,"PS2, PSP, Xbox",2005-11-17,52
4,Airheart,Dan Gorlin,APL2,1986-??-??,
5,Alien Swarm,Black Cat Games,WIN,2004-05-28,
6,Alan Wake,Remedy Entertainment,"X360, WIN",2010-05-14,83
7,American McGee's Alice,Rogue Entertainment,"MAC, OSX, PS3, WIN, X360",2000-10-06,85
8,Angry Birds,Rovio Entertainment,"iPhone, Android",2009-12-11,
9,Apocalypse,Neversoft,PS1,1998-10-31,
10,Apocalyptica,Extreme FX,WIN,2003-10-24,34
11,Armed and Dangerous,Planet Moon Studios,"WIN, Xbox",2003-12-02,79
12,Armored Core V,From Software,"PS3, X360",2012-03-20,68
13,Army of Two,EA Montreal,"PS3, X360",2008-03-04,74
14,Army of Two: The 40th Day,EA Montreal,"PS3, X360, PSP",2010-01-12,74
15,Army of Two: The Devil's Cartel,Visceral Games,"PS3, X360",2013-03-26,58
16,Astro Boy,Sonic Team,PS2,2004-04-18,
17,Astrorock,"Intrepid Software Solutions, Inc",WIN9X ( Windows 95 ),1996-07-31,
18,BaboViolent 2,RndLabs,"Client : WIN Server : WIN, LIN",2006-10-10,
19,Bad Boys: Miami Takedown,Blitz Games,"GCN, PS2, WIN, Xbox",2004-02-25,
20,Battlefield Heroes,EA DICE,Microsoft Windows,2009-06-25,
21,Beyond Forbidden Forest,Cosmi Corporation,C64,1986-??-??,
22,Binary Domain,Ryu Ga Gotoku Studio,"PS3, WIN, X360",2012-02-16,74
23,Bionicle Heroes,TT Games,"DS, GBA, GCN, PS2, X360, Wii, WIN",2006-11-14,
24,Blasto,Sony Interactive,PS1,1998-04-09,
25,Blinx: The Time Sweeper,Artoon,Xbox,2002,71
26,BlowOut,Terminal Reality,"GCN, PS2, WIN, X360, Xbox",2004-01-30,
27,Bounty Hounds,XPEC,PSP,2006-09-12,
28,Brawl Stars,Supercell,"iOS, Android","Beta: June 14, 2017 WW: December 12, 2018",72
29,Brute Force,Digital Anvil,Xbox,2003-05-27,77
30,Bullet Witch,Cavia,X360,2007-02-27,
31,Burning Rangers,Sonic Team,SAT,1998-02-26,
32,C-12: Final Resistance,SCE Studio Cambridge,PS1,2001-04-06,63
33,Cabal 1,TAD Corporation,"ARC, AMI, CPC, C64, ZX, DOS, NES",1988-??-??,
34,"Contra Adventure, The",Appaloosa Interactive,PS1,1998-08-01,
35,Captain Quazar,Cyclone Studios,"3DO, WIN",1996-02-01,
36,Cartoon Network Universe: FusionFall,Unity Web Player,"OSX, WINNT",2009-01-14,
37,Computer Space 2,Syzygy Engineering,ARC,1971,
38,Conflict: Desert Storm,Pivotal Games,"GCN, PS2, Xbox",2003-09-19,65
39,Conflict: Desert Storm II,Pivotal Games,"GCN, PS2, Xbox",2003-09-19,73
40,Conflict: Global Terror,Pivotal Games,"PS2, Xbox",2005-09-30,62
41,Conflict: Vietnam,Pivotal Games,"PS2, Xbox",2004-09-03,60
42,Contra,Konami,Arcade,1987-02-20,
43,Contra: Legacy of War,Appaloosa Interactive,"PS1, SAT",1996-10-01,
44,Cosmic Break,CyberStep Inc,WIN,2008-12-19,
45,Covert Ops: Nuclear Dawn,Sugar and Rockets,PS1,2000-01-27,
46,Crackdown,Realtime Worlds,X360,2007-02-20,83
47,Control,Remedy Entertainment,"PS4, XONE, WIN",2019-08-27,87
48,Cyber Sled,Namco,"Arcade, PS1, PSN",1993-??-??,
